cannon_x,0-Noop,1-Fire,2-Right,3-Left,4-RightFire,5-LeftFire
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,-0.0242677,2.27237e-05,3.2501e-05,2.00966e-05,0.000158174,3.51732e-05
39,-0.0135571,5.14825e-05,0.000124902,5.71415e-05,3.00434e-05,5.22312e-05
40,-0.0143522,3.39883e-05,7.0818e-05,0.000169113,3.02261e-05,5.61326e-05
41,-0.0110163,3.88151e-05,0.000321201,7.0557e-05,5.20565e-05,9.03763e-05
42,-0.0114675,2.90744e-05,4.98616e-05,0.00011959,1.63567e-05,1.49972e-05
43,-0.0100275,0.000139125,2.40824e-05,3.51199e-05,2.30683e-05,2.81717e-05
44,-0.00949449,-4.84029e-05,9.06384e-05,1.45074e-05,1.11115e-05,1.39792e-05
45,-0.00985558,0.000180744,-2.43184e-05,2.44453e-05,-0.000801283,-0.000167938
46,-0.0163827,-0.000325367,-0.000690366,-0.000435457,-0.000437552,-0.000525293
47,-0.0136536,-0.000574212,-0.000589735,-0.000367744,-0.000368107,-0.000367933
48,-0.00827632,-0.00013785,-0.000138054,-0.000138508,-0.000318751,-0.000138644
49,-0.00533221,0.000107303,1.10226e-05,1.57814e-05,1.55924e-05,1.02928e-05
50,-0.00345003,1.97491e-05,4.65812e-05,6.12237e-06,7.0563e-06,2.64641e-05
51,-0.00457989,-6.59675e-06,-8.78756e-05,1.76673e-05,-1.52688e-05,3.17772e-05
52,-0.00276496,2.01985e-05,6.64457e-06,2.15148e-06,7.4288e-05,8.76019e-06
53,-0.0029076,8.87401e-06,2.59368e-05,-6.64563e-07,8.4708e-06,1.58971e-06
54,-0.00235469,1.67134e-05,1.16698e-05,1.01372e-05,1.07805e-05,5.12212e-05
55,-0.00210142,9.20815e-06,6.49017e-06,1.97624e-05,-2.59767e-06,6.49772e-06
56,-0.00248507,6.54892e-06,1.1114e-05,3.89156e-05,1.07572e-05,2.53221e-06
57,-0.00168973,3.08203e-05,5.96985e-07,1.2991e-06,2.72631e-06,1.58453e-05
58,-0.000809246,9.42533e-07,1.32129e-05,9.24914e-05,3.94966e-06,-1.90531e-05
59,-0.000872085,7.87767e-07,3.98674e-06,4.80669e-06,2.94703e-06,-7.51448e-05
60,-0.00086535,1.68089e-06,5.04707e-10,9.56575e-10,4.70827e-10,9.73269e-06
61,-0.000648135,3.30264e-10,4.23398e-09,1.71801e-09,5.50997e-09,3.39476e-06
62,-0.000644624,4.62623e-09,2.26474e-06,8.365e-07,7.49347e-06,3.4316e-10
63,-0.0007175,2.67547e-05,-0.000103985,-7.48864e-06,6.30283e-07,8.45702e-07
64,-0.000908709,1.60812e-09,-6.69766e-06,7.73078e-06,4.5598e-06,8.06668e-09
65,-0.000350657,2.46794e-10,1.61704e-06,1.95898e-09,1.43793e-11,1.49071e-09
66,-0.000358598,1.43644e-11,3.69226e-07,1.6849e-10,6.89021e-11,1.30901e-07
67,-0.0001465,8.33035e-11,-1.09884e-06,-2.47825e-07,-1.34447e-05,1.32387e-11
68,-0.000693198,3.23709e-08,0.000241137,5.22705e-11,2.15155e-05,4.76348e-11
69,-0.000164642,-9.90627e-07,-5.34255e-07,-1.52529e-06,-9.08678e-07,-2.36602e-06
70,-0.000580447,4.26373e-12,2.88634e-09,8.86044e-07,5.10741e-09,2.69446e-11
71,-0.00188295,2.3646e-09,2.3144e-11,2.8819e-05,2.60296e-06,-8.89168e-07
72,-0.000541652,2.22302e-11,1.59813e-06,5.74243e-07,2.13289e-11,3.70146e-09
73,-0.000430335,3.70714e-11,2.31896e-16,-2.05635e-06,9.63077e-07,1.92407e-11
74,-0.000118902,3.76662e-16,1.83254e-11,5.1355e-11,1.46396e-11,-4.15459e-05
75,-0.000282618,1.7263e-11,7.13296e-12,2.77564e-16,-6.86971e-07,1.93826e-16
76,-0.000150475,1.80875e-11,-2.56682e-10,-1.98364e-06,-1.98868e-06,-1.90438e-06
77,-0.000541435,-0.000182167,-0.00011345,-0.000113263,-0.000113221,-0.000112661
78,-0.0213976,-0.0042013,-0.00420177,-0.00420167,-0.00420111,-0.00420104
79,-0.00267562,-0.000476307,-0.000475685,-0.000476237,-0.00047611,-0.000702309
80,-0.000641274,-0.000151612,-0.000151549,-0.000153612,-0.000181673,-0.000152312
81,-0.000119486,-9.82931e-07,-9.50411e-07,-3.47066e-10,-7.11886e-06,-9.50729e-07
82,-0.000120578,8.90556e-17,6.36739e-17,1.06683e-11,1.17261e-16,-3.14864e-06
83,-4.79488e-05,2.48191e-17,4.8698e-12,1.12976e-16,1.88007e-11,8.26882e-17
84,-3.79707e-05,1.85794e-06,-1.05767e-06,5.9648e-17,3.85814e-10,1.45125e-06
85,-8.4759e-05,2.1167e-10,1.43867e-05,5.6387e-12,5.15144e-12,-1.29898e-06
